               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11533,            0.032961,                   0,            0.051199,                 0.5,            0.058254,             0.01226,            0.057993,            0.026162,                   0,              0.0883,              0.0013,              0.0013
                   1,            0.076182,            0.032054,                   0,             0.27709,             0.76786,             0.30535,             0.11523,            0.049923,            0.020046,                   0,            0.075673,           0.0026733,           0.0026733
                   2,            0.064088,            0.026712,                   0,             0.29509,             0.96429,             0.48774,             0.19998,            0.050867,            0.016268,                   0,            0.063019,           0.0040188,           0.0040188
                   3,            0.062458,            0.019283,                   0,             0.50642,             0.98214,             0.68831,             0.18336,            0.053538,            0.011128,                   0,            0.050337,           0.0053367,           0.0053367
                   4,            0.063578,            0.018258,                   0,             0.99297,                   1,               0.995,             0.41732,            0.048891,            0.011861,                   0,            0.037627,           0.0066268,           0.0066268
                   5,            0.063439,            0.017064,                   0,             0.74706,             0.73847,             0.69162,             0.17335,            0.037152,            0.018232,                   0,            0.024889,           0.0078891,           0.0078891
                   6,            0.055129,             0.01714,                   0,             0.90712,                   1,             0.99412,             0.27888,             0.04382,            0.015843,                   0,            0.012124,           0.0091238,           0.0091238
                   7,            0.058168,            0.014613,                   0,             0.39218,             0.92857,              0.4026,             0.25164,            0.038495,            0.011742,                   0,            0.009307,            0.009307,            0.009307
                   8,            0.050072,            0.014632,                   0,             0.76608,             0.93579,             0.92164,             0.34555,            0.035912,            0.010361,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.046375,            0.013381,                   0,             0.98844,                   1,               0.995,             0.56251,            0.032377,           0.0080162,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.04151,            0.012445,                   0,              0.8826,                   1,             0.99447,             0.39896,            0.026375,           0.0075518,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.041971,            0.011039,                   0,              0.9201,             0.98214,             0.98984,             0.36522,            0.027218,           0.0071756,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.038746,            0.012175,                   0,              0.9202,                   1,             0.97981,             0.72584,            0.022532,           0.0063033,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.035973,            0.010546,                   0,             0.95259,                   1,             0.99259,             0.61132,            0.019374,           0.0063789,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.032399,           0.0096588,                   0,             0.99296,                   1,               0.995,             0.40696,            0.025212,           0.0062386,                   0,            0.008713,            0.008713,            0.008713
